date,price
2014-11-28,376.28
2014-11-29,376.72
2014-11-30,373.34
2014-12-01,378.39
2014-12-02,379.25
2014-12-03,376.67
2014-12-04,365.20
2014-12-05,374.95
2014-12-06,375.07
2014-12-07,376.87
2014-12-08,364.61
2014-12-09,350.49
2014-12-10,348.13
2014-12-11,348.98
2014-12-12,354.48
2014-12-13,351.45
2014-12-14,350.17
2014-12-15,350.17
2014-12-16,330.02
2014-12-17,321.10
2014-12-18,312.17
2014-12-19,318.00
2014-12-20,329.99
2014-12-21,323.15
2014-12-22,330.52
2014-12-23,335.49
2014-12-24,322.14
2014-12-25,319.39
2014-12-26,330.88
2014-12-27,315.89
2014-12-28,316.63
2014-12-29,314.78
2014-12-30,311.94
2014-12-31,319.25
2015-01-01,316.31
2015-01-02,316.51
2015-01-03,286.01
2015-01-04,264.62
2015-01-05,276.80
2015-01-06,276.80
2015-01-07,276.80
2015-01-08,276.80
2015-01-09,276.80
2015-01-10,276.80
2015-01-11,276.80
2015-01-12,268.16
2015-01-13,221.00
2015-01-14,162.00
2015-01-15,208.81
2015-01-16,206.60
2015-01-17,200.10
2015-01-18,211.42
2015-01-19,216.88
2015-01-20,211.08
2015-01-21,228.59
2015-01-22,233.00
2015-01-23,233.03
2015-01-24,249.99
2015-01-25,253.09
2015-01-26,269.50
2015-01-27,262.99
2015-01-28,236.20
2015-01-29,234.75
2015-01-30,232.60
2015-01-31,217.98
2015-02-01,214.80
2015-02-02,237.97
2015-02-03,227.35
2015-02-04,227.00
2015-02-05,217.00
2015-02-06,222.88
2015-02-07,228.61
2015-02-08,224.19
2015-02-09,220.72
2015-02-10,220.95
2015-02-11,219.12
2015-02-12,222.46
2015-02-13,236.86
2015-02-14,257.90
2015-02-15,234.01
2015-02-16,236.55
2015-02-17,244.96
2015-02-18,235.79
2015-02-19,242.67
2015-02-20,246.10
2015-02-21,245.87
2015-02-22,236.68
2015-02-23,238.92
2015-02-24,239.69
2015-02-25,238.00
2015-02-26,236.70
2015-02-27,253.06
2015-02-28,252.98
2015-03-01,255.81
2015-03-02,274.00
2015-03-03,279.00
2015-03-04,269.83
2015-03-05,273.80
2015-03-06,273.26
2015-03-07,275.59
2015-03-08,274.89
2015-03-09,287.00
2015-03-10,290.24
2015-03-11,295.11
2015-03-12,295.56
2015-03-13,284.40
2015-03-14,282.70
2015-03-15,286.40
2015-03-16,289.70
2015-03-17,284.46
2015-03-18,257.29
2015-03-19,262.01
2015-03-20,262.09
2015-03-21,259.80
2015-03-22,269.39
2015-03-23,265.84
2015-03-24,246.93
2015-03-25,247.68
2015-03-26,249.46
2015-03-27,248.09
2015-03-28,252.31
2015-03-29,242.19
2015-03-30,247.69
2015-03-31,243.98
2015-04-01,245.98
2015-04-02,253.16
2015-04-03,253.79
2015-04-04,253.45
2015-04-05,260.50
2015-04-06,255.83
2015-04-07,254.45
2015-04-08,244.09
2015-04-09,243.53
2015-04-10,234.77
2015-04-11,237.34
2015-04-12,236.30
2015-04-13,222.87
2015-04-14,216.42
2015-04-15,221.51
2015-04-16,227.59
2015-04-17,221.86
2015-04-18,223.14
2015-04-19,222.89
2015-04-20,224.07
2015-04-21,234.13
2015-04-22,233.00
2015-04-23,235.14
2015-04-24,231.06
2015-04-25,226.28
2015-04-26,219.49
2015-04-27,226.01
2015-04-28,225.11
2015-04-29,225.49
2015-04-30,235.75
2015-05-01,231.96
2015-05-02,233.90
2015-05-03,239.18
2015-05-04,237.93
2015-05-05,234.37
2015-05-06,229.78
2015-05-07,236.82
2015-05-08,243.16
2015-05-09,241.40
2015-05-10,239.08
2015-05-11,239.00
2015-05-12,241.30
2015-05-13,236.90
2015-05-14,236.95
2015-05-15,237.12
2015-05-16,235.60
2015-05-17,236.05
2015-05-18,232.24
2015-05-19,231.69
2015-05-20,233.80
2015-05-21,235.49
2015-05-22,238.99
2015-05-23,237.71
2015-05-24,239.68
2015-05-25,235.48
2015-05-26,236.21
2015-05-27,235.34
2015-05-28,236.46
2015-05-29,236.02
2015-05-30,232.07
2015-05-31,229.08
2015-06-01,223.67
2015-06-02,224.78
2015-06-03,225.11
2015-06-04,222.37
2015-06-05,224.49
2015-06-06,224.36
2015-06-07,222.86
2015-06-08,228.11
2015-06-09,229.49
2015-06-10,227.51
2015-06-11,229.01
2015-06-12,229.61
2015-06-13,231.51
2015-06-14,231.77
2015-06-15,235.92
2015-06-16,248.75
2015-06-17,245.78
2015-06-18,248.09
2015-06-19,243.42
2015-06-20,244.69
2015-06-21,243.37
2015-06-22,247.09
2015-06-23,243.78
2015-06-24,240.69
2015-06-25,241.65
2015-06-26,243.20
2015-06-27,251.17
2015-06-28,248.90
2015-06-29,256.38
2015-06-30,264.13
2015-07-01,257.07
2015-07-02,254.69
2015-07-03,255.86
2015-07-04,260.74
2015-07-05,270.33
2015-07-06,269.47
2015-07-07,266.18
2015-07-08,269.39
2015-07-09,269.65
2015-07-10,286.61
2015-07-11,292.02
2015-07-12,310.24
2015-07-13,292.00
2015-07-14,287.96
2015-07-15,285.55
2015-07-16,277.23
2015-07-17,279.43
2015-07-18,276.73
2015-07-19,275.50
2015-07-20,277.73
2015-07-21,276.48
2015-07-22,277.93
2015-07-23,276.67
2015-07-24,289.96
2015-07-25,289.34
2015-07-26,292.84
2015-07-27,294.27
2015-07-28,293.84
2015-07-29,289.63
2015-07-30,287.73
2015-07-31,284.39
2015-08-01,280.77
2015-08-02,281.50
2015-08-03,282.72
2015-08-04,284.65
2015-08-05,281.99
2015-08-06,281.99
2015-08-07,279.01
2015-08-08,261.71
2015-08-09,265.36
2015-08-10,264.33
2015-08-11,270.00
2015-08-12,268.51
2015-08-13,264.65
2015-08-14,265.71
2015-08-15,261.03
2015-08-16,256.09
2015-08-17,256.66
2015-08-18,246.00
2015-08-19,227.10
2015-08-20,235.95
2015-08-21,233.27
2015-08-22,230.47
2015-08-23,228.47
2015-08-24,211.79
2015-08-25,221.64
2015-08-26,225.17
2015-08-27,223.80
2015-08-28,232.09
2015-08-29,229.23
2015-08-30,228.43
2015-08-31,229.84
2015-09-01,227.65
2015-09-02,228.77
2015-09-03,226.79
2015-09-04,231.09
2015-09-05,235.45
2015-09-06,240.45
2015-09-07,240.12
2015-09-08,244.04
2015-09-09,237.96
2015-09-10,238.50
2015-09-11,239.94
2015-09-12,235.61
2015-09-13,230.17
2015-09-14,229.51
2015-09-15,229.30
2015-09-16,227.85
2015-09-17,232.44
2015-09-18,232.82
2015-09-19,230.23
2015-09-20,230.29
2015-09-21,225.93
2015-09-22,229.59
2015-09-23,229.41
2015-09-24,233.19
2015-09-25,235.13
2015-09-26,233.89
2015-09-27,231.91
2015-09-28,239.00
2015-09-29,236.71
2015-09-30,236.65
2015-10-01,237.52
2015-10-02,237.69
2015-10-03,238.77
2015-10-04,238.40
2015-10-05,240.53
2015-10-06,246.93
2015-10-07,243.47
2015-10-08,243.41
2015-10-09,244.49
2015-10-10,245.72
2015-10-11,247.83
2015-10-12,245.48
2015-10-13,248.69
2015-10-14,252.46
2015-10-15,254.44
2015-10-16,262.50
2015-10-17,268.99
2015-10-18,261.00
2015-10-19,264.43
2015-10-20,270.23
2015-10-21,267.80
2015-10-22,275.30
2015-10-23,277.71
2015-10-24,282.59
2015-10-25,288.27
2015-10-26,285.82
2015-10-27,295.17
2015-10-28,304.05
2015-10-29,313.73
2015-10-30,328.78
2015-10-31,310.06
2015-11-01,328.98
2015-11-02,361.98
2015-11-03,398.21
2015-11-04,404.30
2015-11-05,383.22
2015-11-06,371.79
2015-11-07,385.76
2015-11-08,371.87
2015-11-09,379.88
2015-11-10,337.69
2015-11-11,303.00
2015-11-12,334.94
2015-11-13,333.51
2015-11-14,331.61
2015-11-15,317.00
2015-11-16,330.90
2015-11-17,335.44
2015-11-18,337.06
2015-11-19,324.95
2015-11-20,321.50
2015-11-21,324.99
2015-11-22,323.11
2015-11-23,323.01
2015-11-24,318.42
2015-11-25,328.30
2015-11-26,356.39
2015-11-27,359.87
2015-11-28,356.39
2015-11-29,371.04
2015-11-30,377.98
2015-12-01,362.95
2015-12-02,359.97
2015-12-03,361.32
2015-12-04,362.30
2015-12-05,384.67
2015-12-06,394.60
2015-12-07,395.10
2015-12-08,409.00
2015-12-09,416.08
2015-12-10,416.28
2015-12-11,451.68
2015-12-12,435.87
2015-12-13,435.80
2015-12-14,442.37
2015-12-15,463.61
2015-12-16,455.10
2015-12-17,456.01
2015-12-18,463.00
2015-12-19,460.96
2015-12-20,441.48
2015-12-21,437.56
2015-12-22,436.15
2015-12-23,443.34
2015-12-24,455.71
2015-12-25,455.50
2015-12-26,417.42
2015-12-27,423.29
2015-12-28,420.70
2015-12-29,430.04
2015-12-30,427.05
2015-12-31,430.57
2016-01-01,434.98
2016-01-02,433.74
2016-01-03,430.85
2016-01-04,433.97
2016-01-05,431.89
2016-01-06,431.84
2016-01-07,457.79
2016-01-08,451.32
2016-01-09,449.95
2016-01-10,447.21
2016-01-11,448.99
2016-01-12,446.27
2016-01-13,432.53
2016-01-14,429.22
2016-01-15,372.85
2016-01-16,386.43
2016-01-17,382.85
2016-01-18,385.00
2016-01-19,379.88
2016-01-20,410.93
2016-01-21,410.03
2016-01-22,381.78
2016-01-23,386.92
2016-01-24,402.50
2016-01-25,392.58
2016-01-26,390.66
2016-01-27,395.00
2016-01-28,379.16
2016-01-29,379.44
2016-01-30,376.60
2016-01-31,370.00
2016-02-01,371.50
2016-02-02,373.18
2016-02-03,367.64
2016-02-04,390.00
2016-02-05,385.88
2016-02-06,374.27
2016-02-07,375.40
2016-02-08,371.16
2016-02-09,373.16
2016-02-10,379.86
2016-02-11,377.99
2016-02-12,382.88
2016-02-13,389.51
2016-02-14,403.95
2016-02-15,399.00
2016-02-16,406.47
2016-02-17,415.52
2016-02-18,420.31
2016-02-19,419.27
2016-02-20,440.24
2016-02-21,437.70
2016-02-22,437.97
2016-02-23,420.05
2016-02-24,422.61
2016-02-25,423.51
2016-02-26,427.80
2016-02-27,431.06
2016-02-28,432.16
