date,price
2018-03-01,10903.13
2018-03-02,11029.99
2018-03-03,11445.00
2018-03-04,11463.27
2018-03-05,11419.24
2018-03-06,10723.76
2018-03-07,9913.03
2018-03-08,9285.32
2018-03-09,9230.00
2018-03-10,8791.47
2018-03-11,9535.04
2018-03-12,9120.75
2018-03-13,9142.32
2018-03-14,8196.69
2018-03-15,8265.05
2018-03-16,8258.54
2018-03-17,7860.83
2018-03-18,8188.24
2018-03-19,8596.93
2018-03-20,8904.02
2018-03-21,8893.79
2018-03-22,8704.67
2018-03-23,8920.79
2018-03-24,8547.00
2018-03-25,8453.90
2018-03-26,8149.66
2018-03-27,7791.70
2018-03-28,7932.41
2018-03-29,7088.38
2018-03-30,6850.00
2018-03-31,6928.62
2018-04-01,6813.52
2018-04-02,7052.76
2018-04-03,7416.27
2018-04-04,6799.95
2018-04-05,6771.69
2018-04-06,6618.33
2018-04-07,6904.90
2018-04-08,7027.26
2018-04-09,6780.10
2018-04-10,6835.67
2018-04-11,6940.94
2018-04-12,7923.78
2018-04-13,7896.92
2018-04-14,8000.41
2018-04-15,8354.22
2018-04-16,8048.15
2018-04-17,7890.87
2018-04-18,8172.84
2018-04-19,8271.31
2018-04-20,8861.00
2018-04-21,8920.71
2018-04-22,8789.96
2018-04-23,8946.95
2018-04-24,9648.00
2018-04-25,8864.99
2018-04-26,9274.48
2018-04-27,8921.43
2018-04-28,9345.11
2018-04-29,9393.99
2018-04-30,9242.17
2018-05-01,9066.90
2018-05-02,9222.00
2018-05-03,9732.43
2018-05-04,9696.57
2018-05-05,9823.28
2018-05-06,9623.54
2018-05-07,9359.52
2018-05-08,9167.69
2018-05-09,9308.49
2018-05-10,9020.99
2018-05-11,8411.42
2018-05-12,8481.60
2018-05-13,8696.58
2018-05-14,8674.36
2018-05-15,8474.99
2018-05-16,8346.59
2018-05-17,8067.03
2018-05-18,8248.87
2018-05-19,8231.20
2018-05-20,8518.48
2018-05-21,8391.76
2018-05-22,7984.08
2018-05-23,7502.89
2018-05-24,7586.88
2018-05-25,7471.18
2018-05-26,7335.99
2018-05-27,7347.39
2018-05-28,7112.50
2018-05-29,7469.45
2018-05-30,7375.73
2018-05-31,7492.28
2018-06-01,7511.60
2018-06-02,7642.00
2018-06-03,7703.67
2018-06-04,7488.26
2018-06-05,7617.98
2018-06-06,7658.57
2018-06-07,7689.28
2018-06-08,7618.11
2018-06-09,7492.70
2018-06-10,6781.17
2018-06-11,6880.61
2018-06-12,6557.67
2018-06-13,6307.40
2018-06-14,6646.10
2018-06-15,6390.60
2018-06-16,6487.92
2018-06-17,6453.41
2018-06-18,6707.50
2018-06-19,6736.52
2018-06-20,6756.58
2018-06-21,6718.33
2018-06-22,6050.45
2018-06-23,6177.38
2018-06-24,6153.40
2018-06-25,6253.61
2018-06-26,6068.00
2018-06-27,6135.64
2018-06-28,5848.33
2018-06-29,6204.24
2018-06-30,6385.71
2018-07-01,6349.99
2018-07-02,6612.98
2018-07-03,6507.99
2018-07-04,6584.25
2018-07-05,6533.69
2018-07-06,6596.53
2018-07-07,6759.99
2018-07-08,6706.60
2018-07-09,6666.75
2018-07-10,6299.46
2018-07-11,6380.00
2018-07-12,6243.88
2018-07-13,6215.59
2018-07-14,6243.98
2018-07-15,6349.30
2018-07-16,6721.04
2018-07-17,7310.71
2018-07-18,7378.10
2018-07-19,7471.42
2018-07-20,7330.84
2018-07-21,7409.92
2018-07-22,7396.60
2018-07-23,7719.62
2018-07-24,8403.83
2018-07-25,8174.06
2018-07-26,7926.00
2018-07-27,8183.05
2018-07-28,8237.74
2018-07-29,8216.74
2018-07-30,8160.21
2018-07-31,7725.43
2018-08-01,7602.01
2018-08-02,7536.37
2018-08-03,7416.98
2018-08-04,7009.99
2018-08-05,7032.61
2018-08-06,6936.11
2018-08-07,6717.68
2018-08-08,6283.59
2018-08-09,6543.76
2018-08-10,6139.99
2018-08-11,6239.98
2018-08-12,6310.82
2018-08-13,6252.63
2018-08-14,6193.62
2018-08-15,6272.30
2018-08-16,6313.51
2018-08-17,6580.15
2018-08-18,6399.28
2018-08-19,6481.99
2018-08-20,6260.82
2018-08-21,6479.27
2018-08-22,6355.76
2018-08-23,6525.01
2018-08-24,6692.94
2018-08-25,6732.40
2018-08-26,6700.46
2018-08-27,6904.51
2018-08-28,7080.94
2018-08-29,7032.96
2018-08-30,6984.01
2018-08-31,7017.35
2018-09-01,7185.01
2018-09-02,7290.31
2018-09-03,7258.99
2018-09-04,7361.00
2018-09-05,6679.30
2018-09-06,6493.09
2018-09-07,6400.00
2018-09-08,6178.31
2018-09-09,6236.04
2018-09-10,6301.99
2018-09-11,6279.99
2018-09-12,6322.45
2018-09-13,6485.70
2018-09-14,6476.51
2018-09-15,6520.15
2018-09-16,6499.98
2018-09-17,6254.52
2018-09-18,6332.34
2018-09-19,6388.40
2018-09-20,6492.98
2018-09-21,6749.45
2018-09-22,6710.01
2018-09-23,6702.22
2018-09-24,6581.52
2018-09-25,6428.99
2018-09-26,6461.51
2018-09-27,6681.62
2018-09-28,6610.76
2018-09-29,6579.38
2018-09-30,6597.81
2018-10-01,6571.20
2018-10-02,6500.00
2018-10-03,6456.77
2018-10-04,6547.56
2018-10-05,6582.12
2018-10-06,6544.08
2018-10-07,6577.63
2018-10-08,6604.75
2018-10-09,6588.80
2018-10-10,6517.55
2018-10-11,6152.76
2018-10-12,6185.15
2018-10-13,6199.69
2018-10-14,6183.00
2018-10-15,6441.74
2018-10-16,6461.20
2018-10-17,6437.29
